true_angl,true_le,pred_angl,pred_le,err_L,err_A,PSNRs
20,25,20,24.615,0.39,0,24.55
155,19,155,17.92,1.08,0,24.62
121,17,120,17.067,0.07,1,26.27
81,23,80,22.549,0.45,1,24.62
143,19,143,18.113,0.89,0,25.01
55,25,55,24.695,0.3,0,24.1
140,12,135,12.488,0.49,5,24.66
103,8,104,7.758,0.24,1,30.1
64,15,66,14.222,0.78,2,24.25
18,15,16,14.222,0.78,2,24.65
6,10,7,9.846,0.15,1,27.2
92,21,91,20.626,0.37,1,25.32
143,25,143,24.292,0.71,0,24.14
91,13,91,12.8,0.2,0,28.98
107,17,107,17.067,0.07,0,26.55
6,10,7,9.846,0.15,1,27.2
74,9,77,8.258,0.74,3,26.81
48,14,47,13.128,0.87,1,25.24
28,6,23,5.02,0.98,5,26.94
58,14,57,13.838,0.16,1,26.6
