true_angl,true_le,pred_angl,pred_le,err_L,err_A,PSNRs
53,6,56,5.721,0.28,3,36.65
163,32,163,31.03,0.97,0,25.81
65,7,65,7.111,0.11,0,37.24
143,24,143,23.232,0.77,0,28.02
161,32,161,30.487,1.51,0,25.47
103,13,104,12.962,0.04,1,33.43
79,27,79,24.814,2.19,0,28.13
128,38,128,37.632,0.37,0,26.32
75,8,76,7.877,0.12,1,36.1
119,37,119,34.133,2.87,0,25.11
59,13,56,12.047,0.95,3,30.95
127,34,127,32.891,1.11,0,26.8
20,8,19,7.817,0.18,1,35.04
74,34,74,32.821,1.18,0,28.04
84,14,83,13.838,0.16,1,32.96
62,16,63,15.754,0.25,1,32
82,18,82,16.906,1.09,0,31.49
176,15,177,14.629,0.37,1,30.7
167,36,167,35.47,0.53,0,25.6
132,10,133,9.66,0.34,1,33.71
