true_angl,true_le,pred_angl,pred_le,err_L,err_A,PSNRs
159,17,159,16.516,0.48,0,24.99
174,7,175,6.737,0.26,1,29.55
68,20,67,19.092,0.91,1,23.53
131,8,132,7.758,0.24,1,27.09
108,33,108,29.313,3.69,0,21.06
135,6,137,5.953,0.05,2,28.41
127,9,130,8.258,0.74,3,26.3
123,20,123,17.389,2.61,0,21.97
161,25,161,23.098,1.9,0,23.04
53,10,52,9.846,0.15,1,26.27
43,7,42,6.827,0.17,1,29.01
114,28,114,27.331,0.67,0,23
99,13,101,12.19,0.81,2,24.49
139,10,140,9.66,0.34,1,26.83
92,22,91,20.571,1.43,1,23.13
59,28,59,26.947,1.05,0,22.93
138,29,138,26.369,2.63,0,21.77
41,28,41,27.077,0.92,0,23.21
100,8,103,8,0,3,26.27
44,30,44,29.848,0.15,0,23.24
