true_angl,true_le,pred_angl,pred_le,err_L,err_A,PSNRs
54,22,54,21.943,0.06,0,24.85
89,15,91,14.222,0.78,2,26.8
113,15,112,14.629,0.37,1,26.33
20,31,20,30.883,0.12,0,23.55
26,14,26,13.838,0.16,0,26.68
90,8,91,8,0,1,30.8
56,25,56,22.639,2.36,0,21.66
123,21,123,20.211,0.79,0,24.73
42,9,46,7.877,1.12,4,23.13
108,35,108,34.993,0.01,0,23.39
149,13,148,12.8,0.2,1,27.19
75,17,77,15.059,1.94,2,22.78
127,19,127,18.028,0.97,0,25.03
10,29,10,27.083,1.92,0,21.79
40,34,40,34.286,0.29,0,22.78
91,6,91,5.953,0.05,0,32.22
91,28,91,27.331,0.67,0,23.94
114,19,113,17.455,1.55,1,23.97
148,17,147,17.067,0.07,1,25.71
148,21,148,20.264,0.74,0,24.29
