true_angl,true_le,pred_angl,pred_le,err_L,err_A,PSNRs
156,18,156,17.965,0.04,0,29.56
7,31,7,30.012,0.99,0,26.1
5,8,5,8,0,0,34.2
25,18,25,17.965,0.04,0,30.07
126,18,126,17.965,0.04,0,30.8
161,23,162,22.173,0.83,1,27.25
52,15,52,15.059,0.06,0,32.43
30,17,30,14.629,2.37,0,25.82
23,7,19,6.649,0.35,4,34.32
137,6,134,6.024,0.02,3,35.95
83,9,83,8.828,0.17,0,36.04
145,27,145,25.99,1.01,0,26.65
160,23,160,21.646,1.35,0,27.24
46,7,46,6.872,0.13,0,36.67
128,12,127,11.907,0.09,1,32.92
120,17,120,17.067,0.07,0,31.4
31,39,31,38,1,0,26.01
157,12,157,11.907,0.09,0,31.98
99,15,98,15.059,0.06,1,32.84
88,7,93,6.44,0.56,5,35.31
