Text,Reason,Label
this app is good but it wastes a lot of battery.,app is glitchy on green screen background,0
"what is that all about in other words, i cannot get into my own zoom room.",want to enter zoom room,1
no connection can be provided from mobile..,want to record a meeting,0
specific problems: - the transition from the vertical axis to the horizontal axis disables the application,app is bad for passcode,0
"but now i can not connect because of an error code 42, can someone help me?",want to connect to google,0
but today i wanted to watch hulu,easy to use for adults or kids,0
good platform to connects the world.,good for global communication,1
having to watch a 30 to 40 second ad for a 45 second highlight is just unacceptable.,getting ads frequently,1
the meeting will start but in zoom you install the app of zoom its not start properly without app,want to start zoom without app,1
i do not know how to download this video,screen sharing is not zoom friendly,0
there is no virtual background in more options and even in the settings!,no virtual background features,1
it takes a long time to open the app,app is slow to load,1
i can not pornerle profile picture,notifications are received on the phone,0
"very useful, and convenient for school meetings, etc.",good app for school,1
"please add options in recorded videos like playback speed, forward and backward, preview etc.",want to add options in recorded videos,1
"every time i open the app, I am told to update to the latest version.",want to modify subtitles,0
will not download from the appstore,want to write link,0
perfect for educational purposes only. .,app is expensive,0
"and as always we need more features for ipad and iphone like ""save contact name and number""
and also new backgrounds and filters.",app is bad for movies,0
"while watching ipl matches , the app keeps on crashing every now and then.",want to keep comments off screen,0
i can not set background filters in my android device,want to use video blur,0
but whenever i logged in on one device then the other device gets logged out automatically.,good for watching old people fall down stairs,0
"sharing videos sometimes hangs up, but it is easier and easier to use than you think",good app for conducting conference calls,0
"but when i go back to zoom, there is sound",facing issues with audio,1
not suitable for distance learning,app crashes on loading screen,0
worst app not showing live cricket properly,want to view screen share when minimized,0
and i cannot enable the original voice,want filters from instagram,0
how to translate a language?,want to make id in app,0
my phone overheats with this app.,want to copy link and paste link,0
worst app. can not take email,want to use email,1
your service is very bad because zoom app is not installed,want to know how many people are listening the foreign language,0
it would also be better to add brightness adjustment.,app has improved,0
looking forward to adding the background to the zoom meeting,app has many errors,0
"poor connection of both video and audio, inconvenience of use, can not register normally, constant crashes and freezes.",app is not working for 2gb smart phones,0
it is inconvenient to have reopen the app every time i try to watch a movie.,want personalization options,0
i can not connect to my meeting.,want ukraine flag in emoticons,0
so basically when i try to add contacts it does not work,want to add contacts,1
you can not put backgrounds or filters on phones and tablets.,want to enable original voice,0
"also, lately hulu has not been loading episodes queues for shows!",unable to view all movies,0
i could not get in and register for a eucharist at,app does not work on samsung devices,0
"one of the worst apps i have to use, because i do not have any other options to watch cricket in us.",bad app for watching cricket,1
do not trust the privacy of this app.,app crashes frequently and video download issues,0
"everything hangs up, i can not go to the conference, but this conference itself is crashing.",screen quality is poor,0
"i can not change the avatar, I have already reinstalled it and went in another way, i can not change the avatar in any way, i chose the photo and clicked save and not what.",want to change avatar,1
